Dataset,Method,Features_Selected,ACC
Colon,Baseline,2000,0.5161
Colon,"L2,1 Autoencoder",50,0.532258064516129
Colon,"L2,1 Autoencoder",100,0.532258064516129
Colon,"L2,1 Autoencoder",150,0.5483870967741935
Colon,"L2,1 Autoencoder",200,0.5483870967741935
Colon,"L2,1 Autoencoder",250,0.5483870967741935
Colon,"L2,1 Autoencoder",300,0.5483870967741935
Colon,"L2,1 Autoencoder",350,0.532258064516129
Colon,"L2,1 Autoencoder",400,0.532258064516129
Colon,"L2,1 Autoencoder",450,0.532258064516129
Colon,"L2,1 Autoencoder",500,0.532258064516129
Colon,"L2,1 + Laplacian",50,0.532258064516129
Colon,"L2,1 + Laplacian",100,0.5161290322580645
Colon,"L2,1 + Laplacian",150,0.5483870967741935
Colon,"L2,1 + Laplacian",200,0.5161290322580645
Colon,"L2,1 + Laplacian",250,0.532258064516129
Colon,"L2,1 + Laplacian",300,0.5483870967741935
