Dataset,Method,Feature_Count,ACC,NMI,Model_Version
Colon,"L2,1 Autoencoder",50,0.532258064516129,0.0006080261775818,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",100,0.532258064516129,0.0017124579291779,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",150,0.5483870967741935,0.0038773209625348,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",200,0.5483870967741935,0.0038773209625348,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",250,0.5483870967741935,0.0038773209625348,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",300,0.5483870967741935,0.0038773209625348,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",350,0.532258064516129,0.0006080261775818,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",400,0.532258064516129,0.0006080261775818,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",450,0.532258064516129,0.0006080261775818,"L2,1 Autoencoder"
Colon,"L2,1 Autoencoder",500,0.532258064516129,0.0006080261775818,"L2,1 Autoencoder"
Colon,"L2,1 + Laplacian",50,0.532258064516129,0.0006080261775818,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",100,0.5161290322580645,1.4262525626217976e-05,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",150,0.5483870967741935,0.0062234855447078,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",200,0.5161290322580645,1.4262525626217976e-05,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",250,0.532258064516129,0.0017124579291779,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",300,0.5483870967741935,0.0062234855447078,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",50,0.5645161290322581,0.006954421769380335,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",100,0.5161290322580645,0.0009717930514376382,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",150,0.5161290322580645,0.0001790441759688002,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",200,0.5483870967741935,0.0038773209625348904,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",250,0.532258064516129,0.0006080261775818175,"L2,1 + Laplacian"
Colon,"L2,1 + Laplacian",300,0.532258064516129,0.0006080261775818175,"L2,1 + Laplacian"
